epoch,phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,redund_smb,alignment,top_sim,pos_dis,bos_dis
1,train,-0.16394908726215363,20.90625,1.251953125,1.5556640625,3.619140625,1365,5,1.490234375,,,,,,
2,train,-0.09883537143468857,38.6875,0.52685546875,0.78759765625,3.18359375,1278,5,1.4873046875,,,,,,
3,train,-0.2918109595775604,49.34375,0.33837890625,0.54150390625,3.5546875,1107,5,1.92578125,,,,,,
4,train,-0.4370715618133545,59.375,0.2398681640625,0.51904296875,3.953125,950,5,2.373046875,,,,,,
5,train,-0.6041335463523865,67.5625,0.1829833984375,0.432373046875,3.93359375,862,5,2.255859375,,,,,,
1,val,0.09601686894893646,39.8125,0.6748046875,1.212890625,2.87890625,75,5,1.5400390625,0.7395933156529484,0.7429032893858074,0.8612821341034009,0.19967731277269343,0.1625707596540451,0.06907160580158234
2,val,-0.28538286685943604,49.8125,0.448486328125,0.59423828125,3.111328125,98,5,1.806640625,0.6070196692512522,0.7596894293583736,0.9290212843818769,0.22777525906844898,0.1478118598461151,0.05738500878214836
3,val,-0.481556236743927,62.59375,0.25830078125,0.5380859375,3.7734375,111,5,2.435546875,0.5782748501977025,0.7154602632459607,0.8705963765608026,0.3446324523039,0.2879606783390045,0.07907561212778091
4,val,-0.5820051431655884,68.75,0.219970703125,0.478271484375,3.9140625,120,5,2.396484375,0.5311139972576436,0.721242555714843,0.8767221755562286,0.3601199630197184,0.2942851185798645,0.04884335398674011
5,val,-0.6681683659553528,72.1875,0.1690673828125,0.37939453125,4.11328125,141,5,2.50390625,0.5005806079777968,0.7177705477516838,0.8684122378222169,0.3665068167785755,0.21597257256507874,0.10218732804059982
1,val (no noise),0.09801413118839264,39.90625,0.6748046875,1.208984375,2.87890625,8,4,1.7353515625,0.8480081075125461,0.7326559542051603,0.8612821341034009,0.21889106803106015,0.19227871298789978,0.06257732212543488
2,val (no noise),-0.3013268709182739,49.09375,0.448486328125,0.59130859375,3.111328125,18,4,1.990234375,0.7137156447387397,0.7534004062833652,0.9290212843818769,0.23616449476777251,0.15037091076374054,0.031365733593702316
3,val (no noise),-0.4838504493236542,62.5,0.25830078125,0.5283203125,3.7734375,17,4,2.693359375,0.7224780781827489,0.70706770554491,0.8705963765608026,0.3560901531174275,0.26256781816482544,0.05885124206542969
4,val (no noise),-0.5855539441108704,69.0625,0.219970703125,0.465576171875,3.9140625,17,5,2.63671875,0.6757846108970111,0.7163405921861848,0.8767221755562286,0.3712004017412996,0.27230820059776306,0.03210783749818802
5,val (no noise),-0.6730533242225647,73.375,0.1690673828125,0.3642578125,4.11328125,18,5,2.744140625,0.6489561989925798,0.713223152957637,0.8684122378222169,0.3776172463215027,0.19028553366661072,0.0927077978849411
